iter	MultiClass
0	1.419475634
1	1.211566301
2	1.05438904
3	0.9376962441
4	0.8417491106
5	0.763863219
6	0.6970211058
7	0.6404488944
8	0.5935342049
9	0.5524815681
10	0.5170975717
11	0.4864691795
12	0.4586154059
13	0.4342622424
14	0.4126553964
15	0.3940135739
16	0.3769056049
17	0.3616942787
18	0.3479452748
19	0.3357468751
20	0.3246732001
21	0.3151074564
22	0.3063517295
23	0.2983406105
24	0.2906988755
25	0.2843215765
26	0.2783925566
27	0.2733535368
28	0.2688815718
29	0.2647644871
30	0.2610697262
31	0.257821946
32	0.2549377655
33	0.2520252278
34	0.2494980567
35	0.247291987
36	0.2454554339
37	0.2438218486
38	0.2421839741
39	0.2405495536
40	0.2390937779
41	0.2376371997
42	0.2365509504
43	0.23532045
44	0.2341212091
45	0.2331726975
46	0.2324267861
47	0.2318274854
48	0.2310644104
49	0.2305617218
50	0.229914357
51	0.2292521911
52	0.228584524
53	0.2283685908
54	0.2277631336
55	0.2273727621
56	0.2269930073
57	0.2266404008
58	0.2263251129
59	0.2260541951
60	0.225760784
61	0.2255094868
62	0.2252692937
63	0.2251019243
64	0.224887222
65	0.2246393044
66	0.2244263099
67	0.2242392201
68	0.2240849352
69	0.2239479291
70	0.2238745163
71	0.2236335479
72	0.2235775214
73	0.2234958426
74	0.2233839258
75	0.2232690125
76	0.2231617809
77	0.2230700546
78	0.2229831334
79	0.2228118597
80	0.2226419646
81	0.2225488365
82	0.2224733569
83	0.2224041373
84	0.2223234314
85	0.222238628
86	0.2221816633
87	0.222130412
88	0.2220700867
89	0.2219796911
90	0.2219232706
91	0.2218274184
92	0.2217888016
93	0.2217177668
94	0.221694831
95	0.221578414
96	0.2215462677
97	0.2215259605
98	0.2214176193
99	0.2213185439
100	0.2212813183
101	0.2212455437
102	0.2211960003
103	0.2211626101
104	0.2211030843
105	0.2210522321
106	0.2209415981
107	0.2209148767
108	0.2208803036
109	0.2208631229
110	0.2208325516
111	0.2207743812
112	0.2206798518
113	0.2206383111
114	0.2206285051
115	0.2205849214
116	0.2205620843
117	0.2205297207
118	0.2204542346
119	0.2204235814
120	0.2204025375
121	0.2203570741
122	0.2203331023
123	0.220267752
124	0.2201844845
125	0.2201566192
126	0.2201331414
127	0.2201033144
128	0.2200827495
129	0.2200621101
130	0.2200505229
131	0.2200324534
132	0.2200225047
133	0.2199982398
134	0.2199801485
135	0.2199546394
136	0.2199315712
137	0.2198723209
138	0.2198278399
139	0.2198126274
140	0.2197982044
141	0.2197650938
142	0.2197462821
143	0.2196973772
144	0.2196883702
145	0.2196622046
146	0.2196137181
147	0.2194601682
148	0.2194421724
149	0.2194343191
150	0.2194129367
151	0.2193945998
152	0.2193337943
153	0.2193127229
154	0.219283643
155	0.2192695991
156	0.2192496927
157	0.2192388844
158	0.2192229739
159	0.2192157254
160	0.2192052531
161	0.2191606202
162	0.219144721
163	0.2191355518
164	0.2191072968
165	0.2190990037
166	0.2190845878
167	0.2190660872
168	0.2190360119
169	0.2190277121
170	0.2190154465
171	0.2189705515
172	0.2189577237
173	0.2189456211
174	0.2188831729
175	0.2188746626
176	0.2188633697
177	0.218854753
178	0.2188410684
179	0.2188228692
180	0.218816409
181	0.2188008991
182	0.2187931739
183	0.2187857765
184	0.2187778487
185	0.2187050854
186	0.2186596573
187	0.2186137232
188	0.2186065141
189	0.2186006284
190	0.2185751544
191	0.2185691616
192	0.2185594105
193	0.2185518685
194	0.2185321729
195	0.2185251476
196	0.2185187643
197	0.218511078
198	0.2184874705
199	0.2184726798
200	0.2184540598
201	0.218438562
202	0.2184302271
203	0.2184246691
204	0.2184144515
205	0.2183923801
206	0.2183837092
207	0.2183756637
208	0.218364354
209	0.2183581952
210	0.2183553525
211	0.2182972851
212	0.2182934714
213	0.2182877081
214	0.2182691036
215	0.2182580016
216	0.2182507662
217	0.2182468
218	0.2181992872
219	0.2181896826
220	0.2181781879
221	0.218169044
222	0.2181462123
223	0.218140774
224	0.218129266
225	0.2181264488
226	0.2181137092
227	0.2181041993
228	0.2180996563
229	0.2180951528
230	0.2180887634
231	0.21808733
232	0.2180650232
233	0.2180616635
234	0.2180581246
235	0.2180539316
236	0.2180476104
237	0.2180434354
238	0.218040105
239	0.2179889024
240	0.2179858457
241	0.2179609713
242	0.2179327205
243	0.2179283855
244	0.2179161871
245	0.2179060146
246	0.217903692
247	0.2179001353
248	0.2178967413
249	0.2178880404
250	0.2178821832
251	0.217873905
252	0.2178703912
253	0.2178677323
254	0.2178606324
255	0.2178575353
256	0.2178543487
257	0.2178455626
258	0.2178379446
259	0.2178341991
260	0.2178325942
261	0.2178302946
262	0.2178229066
263	0.2178207387
264	0.2178178711
265	0.2178101959
266	0.2178082762
267	0.2178056948
268	0.2178027182
269	0.2177837545
270	0.2177750892
271	0.2177511529
272	0.2177495946
273	0.2177476431
274	0.2177443706
275	0.2177397939
276	0.2177363725
277	0.2177321574
278	0.2177277233
279	0.2177262777
280	0.2177246623
281	0.2177213593
282	0.2177173882
283	0.2177127259
284	0.2177109146
285	0.2177020291
286	0.2177002995
287	0.21769488
288	0.2176797801
289	0.2176787585
290	0.2176738667
291	0.2176704643
292	0.2176675831
293	0.2176647801
294	0.217661039
295	0.2176570271
296	0.217654378
297	0.2176518812
298	0.2176484596
299	0.2176380227
300	0.2176357399
301	0.2176312853
302	0.2176271541
303	0.2176103891
304	0.2175838971
305	0.2175812523
306	0.2175797885
307	0.2175705258
308	0.2175690897
309	0.2175628297
310	0.2175609995
311	0.2175578008
312	0.2175472393
313	0.2175453914
314	0.2175441861
315	0.2175421536
316	0.2175398919
317	0.2175381534
318	0.217535373
319	0.2175311438
320	0.2175295435
321	0.2175279308
322	0.2175206145
323	0.2175190415
324	0.2175133453
325	0.2175090647
326	0.2175067983
327	0.2175043724
328	0.2175036413
329	0.2175023456
330	0.2175005638
331	0.2174985752
332	0.2174976737
333	0.2174939271
334	0.21749195
335	0.2174893734
336	0.2174737294
337	0.2174721203
338	0.2174693137
339	0.2174680751
340	0.2174372718
341	0.217436459
342	0.2174348863
343	0.2174184333
344	0.2174171776
345	0.2174151019
346	0.2174132138
347	0.2174107483
348	0.2174065232
349	0.2174034606
350	0.2174026496
351	0.2173988212
352	0.2173970181
353	0.2173956874
354	0.2173950079
355	0.2173920166
356	0.2173910416
357	0.2173890961
358	0.2173804529
359	0.2173795624
360	0.2173753003
361	0.2173724169
362	0.2173713009
363	0.2173693174
364	0.2173668232
365	0.2173650247
366	0.2173641674
367	0.2173609479
368	0.2173601489
369	0.217359114
370	0.2173579962
371	0.2173542304
372	0.2173520522
373	0.2173514736
374	0.2173502109
375	0.2173480343
376	0.2173465707
377	0.2173415136
378	0.2173372554
379	0.2173361982
380	0.2173342368
381	0.2173298556
382	0.2173290821
383	0.2173275444
384	0.2173252679
385	0.217324155
386	0.2173214771
387	0.2173191236
388	0.217317007
389	0.2173117904
390	0.2173107068
391	0.2173100083
392	0.2173083848
393	0.2173022615
394	0.2173007721
395	0.2172988122
396	0.2172982522
397	0.2172971015
398	0.2172939421
399	0.2172922297
400	0.2172916925
401	0.2172805154
