iter	Passed	Remaining
0	113	113262
1	174	87265
2	230	76709
3	286	71430
4	345	68717
5	403	66904
6	462	65554
7	522	64833
8	579	63784
9	639	63355
10	703	63249
11	761	62676
12	817	62090
13	876	61739
14	934	61341
15	999	61499
16	1058	61229
17	1116	60899
18	1182	61054
19	1247	61126
20	1304	60791
21	1361	60533
22	1424	60510
23	1484	60352
24	1542	60163
25	1608	60266
26	1670	60206
27	1729	60047
28	1803	60391
29	1862	60218
30	1920	60030
31	1978	59847
32	2034	59624
33	2091	59417
34	2153	59372
35	2210	59198
36	2270	59106
37	2326	58905
38	2389	58891
39	2454	58909
40	2515	58829
41	2573	58708
42	2630	58534
43	2687	58399
44	2749	58344
45	2803	58140
46	2856	57910
47	2907	57664
48	2967	57588
49	3024	57467
50	3080	57320
51	3139	57242
52	3193	57061
53	3249	56930
54	3313	56937
55	3369	56804
56	3428	56726
57	3486	56633
58	3540	56464
59	3596	56343
60	3646	56137
61	3707	56084
62	3770	56079
63	3826	55958
64	3885	55897
65	3945	55831
66	4002	55737
67	4054	55568
68	4105	55391
69	4158	55251
70	4206	55042
71	4259	54901
72	4307	54693
73	4356	54513
74	4404	54318
75	4451	54123
76	4508	54039
77	4559	53896
78	4611	53765
79	4670	53713
80	4727	53633
81	4787	53599
82	4844	53520
83	4898	53422
84	4965	53449
85	5019	53351
86	5074	53255
87	5130	53173
88	5178	53011
89	5234	52923
90	5285	52799
91	5351	52820
92	5400	52672
93	5451	52545
94	5503	52424
95	5560	52357
96	5615	52280
97	5670	52196
98	5738	52228
99	5792	52134
100	5854	52107
101	5914	52073
102	5966	51962
103	6020	51867
104	6083	51852
105	6135	51742
106	6185	51626
107	6234	51496
108	6291	51427
109	6336	51269
110	6386	51149
111	6451	51148
112	6505	51063
113	6562	51001
114	6611	50879
115	6667	50811
116	6719	50714
117	6779	50676
118	6838	50624
119	6894	50557
120	6952	50502
121	7005	50414
122	7061	50349
123	7118	50286
124	7174	50218
125	7223	50105
126	7283	50069
127	7341	50011
128	7401	49977
129	7462	49942
130	7516	49863
131	7576	49818
132	7639	49798
133	7689	49693
134	7742	49607
135	7804	49579
136	7853	49470
137	7910	49410
138	7967	49354
139	8035	49361
140	8091	49297
