iter	MultiClass
0	1.041125244
1	0.9929097158
2	0.9534011422
3	0.9199618423
4	0.8897307618
5	0.8637027076
6	0.842458207
7	0.8229092483
8	0.8057702446
9	0.7904499688
10	0.7763944169
11	0.7648958697
12	0.7531240259
13	0.7430878568
14	0.7343352616
15	0.726171033
16	0.7191438839
17	0.7122113753
18	0.7071087492
19	0.7011826527
20	0.6969993375
21	0.6924389515
22	0.6885419598
23	0.6843423858
24	0.6805610787
25	0.676904057
26	0.6741663947
27	0.6711094186
28	0.6682608946
29	0.6659313561
30	0.6635000468
31	0.6614020607
32	0.6592450447
33	0.6572504326
34	0.655763335
35	0.6538822636
36	0.6524356653
37	0.6504751552
38	0.649103784
39	0.6483242826
40	0.6469353766
41	0.6457233558
42	0.6445710299
43	0.6437196996
44	0.6428218298
45	0.6415347342
46	0.6405717151
47	0.6394670997
48	0.6386597305
49	0.6378319493
50	0.6369638648
51	0.6358962601
52	0.6349735907
53	0.6343563024
54	0.6335492345
55	0.6326795733
56	0.6321716044
57	0.6314643725
58	0.630827975
59	0.6301342676
60	0.6295740649
61	0.628921277
62	0.6282901592
63	0.6278735706
64	0.6273045879
65	0.626872764
66	0.6262290119
67	0.6257363967
68	0.6252446029
69	0.624809116
70	0.6243429308
71	0.6239683784
72	0.6236575493
73	0.6233826721
74	0.6229727062
75	0.6228179334
76	0.6223036222
77	0.6217304658
78	0.6213838239
79	0.6210131955
80	0.620611899
81	0.6203162127
82	0.6200979188
83	0.6198094789
84	0.6196611109
85	0.6193181856
86	0.6190463417
87	0.6188693274
88	0.6187611583
89	0.6183456541
90	0.6179851538
91	0.6176597159
92	0.6174940876
93	0.6171829628
94	0.6169514939
95	0.6167886683
96	0.6165593439
97	0.6162895976
98	0.6159688897
99	0.6157558925
100	0.6154541075
101	0.6152701388
102	0.6150920126
103	0.6147806242
104	0.6144965576
105	0.614354866
106	0.6141533628
107	0.6138688975
108	0.6136973731
109	0.6134526387
110	0.6132164929
111	0.6130714261
112	0.6129621697
113	0.6126897588
114	0.612407009
115	0.6121729367
116	0.6119622252
117	0.6118259348
118	0.6116560923
119	0.6114550897
120	0.6111923961
121	0.6109146109
122	0.6106576703
123	0.6105475463
124	0.610381466
125	0.6101233987
126	0.6098937131
127	0.6097709503
128	0.6096541534
129	0.6094190639
130	0.6092535919
131	0.6090224713
132	0.6088501922
133	0.6087044606
134	0.6085194506
135	0.608292492
136	0.6080975037
137	0.6080232825
138	0.607841949
139	0.6076590404
140	0.6075314101
141	0.607382992
142	0.6071951477
143	0.6070238988
144	0.6067974963
145	0.6066633554
146	0.6065622514
147	0.6064019218
148	0.6062088572
149	0.6060436721
150	0.6059390193
151	0.605820839
152	0.605684925
153	0.605522281
154	0.6053935987
155	0.6052544493
156	0.6050989077
157	0.6048844224
158	0.6048107772
159	0.6047172542
160	0.6045299641
161	0.6044615196
162	0.6042725729
163	0.6041372427
164	0.6039462677
165	0.6037445437
166	0.603482667
167	0.6033710546
168	0.6032172279
169	0.6031205697
170	0.6029589209
171	0.6028018289
172	0.6026801025
173	0.6025605432
174	0.6023683578
175	0.6022839322
176	0.6021544825
177	0.6020293352
178	0.6018437852
179	0.6017155422
180	0.6015929798
181	0.6014926695
182	0.6013574136
183	0.6012194773
184	0.6011267753
185	0.6009249002
186	0.6007870749
187	0.6007089961
188	0.600552145
189	0.6004161066
190	0.6002929461
191	0.6001848424
192	0.6000673141
193	0.5999605539
194	0.5998345325
195	0.5997145177
196	0.5996003276
197	0.5995047981
198	0.5993953877
199	0.5992191927
200	0.5991191038
201	0.5990064034
202	0.5988868973
203	0.5987380491
204	0.5986502382
205	0.5985597814
206	0.5984355499
207	0.5983237994
208	0.5982767739
209	0.5981146271
210	0.5979972499
211	0.59785047
212	0.5977686992
213	0.5977010208
214	0.5974931355
