iter	Passed	Remaining
0	55	55111
1	61	30557
2	67	22302
3	72	18119
4	78	15579
5	83	13868
6	89	12632
7	93	11643
8	98	10893
9	104	10316
10	109	9801
11	114	9419
12	119	9054
13	124	8738
14	128	8454
15	133	8195
16	137	7975
17	142	7787
18	147	7611
19	151	7432
20	156	7274
21	160	7122
22	164	6995
23	168	6868
24	173	6755
25	177	6649
26	181	6540
27	185	6444
28	189	6355
29	194	6276
30	198	6204
31	202	6127
32	207	6074
33	211	5999
34	214	5922
35	219	5865
36	222	5802
37	226	5741
38	230	5682
39	234	5631
40	238	5581
41	242	5541
42	247	5497
43	250	5450
44	254	5402
45	258	5366
46	262	5328
47	266	5289
48	270	5248
49	274	5217
50	278	5180
51	282	5146
52	285	5109
53	289	5077
54	293	5044
55	297	5018
56	301	4990
57	305	4958
58	309	4928
59	312	4897
60	316	4871
61	319	4838
62	323	4815
63	327	4793
64	331	4767
65	335	4743
66	339	4721
67	342	4695
68	346	4670
69	349	4642
70	352	4614
71	355	4586
72	359	4559
73	362	4533
74	365	4508
75	368	4485
76	372	4461
77	375	4441
78	379	4422
79	382	4404
80	386	4382
81	390	4366
82	393	4349
83	397	4330
84	400	4313
85	404	4298
86	408	4286
87	412	4270
88	415	4255
89	419	4241
90	422	4224
91	426	4209
92	429	4191
93	433	4177
94	437	4163
95	440	4152
96	444	4141
97	448	4131
98	452	4119
99	456	4106
100	460	4094
101	464	4087
102	468	4077
103	472	4066
104	475	4056
105	479	4046
106	483	4035
107	487	4026
108	491	4016
109	495	4006
110	499	3997
111	502	3986
112	506	3978
113	510	3970
114	514	3963
115	519	3955
116	523	3951
117	528	3949
118	532	3940
119	536	3932
120	539	3922
121	544	3915
122	547	3906
123	551	3897
124	555	3886
125	559	3877
126	563	3870
127	566	3861
128	570	3853
129	575	3851
130	579	3844
131	583	3836
132	587	3828
133	591	3820
134	595	3815
135	599	3807
136	603	3800
137	607	3791
138	611	3784
139	614	3777
140	618	3769
141	622	3762
142	626	3754
143	630	3749
144	634	3742
145	638	3735
146	642	3729
147	646	3722
148	650	3714
149	654	3707
150	657	3699
151	661	3691
152	665	3684
153	669	3677
154	673	3671
155	677	3664
156	681	3658
157	685	3653
158	689	3647
159	693	3640
160	697	3635
161	701	3628
162	705	3621
163	709	3618
164	713	3612
165	718	3608
166	722	3605
167	727	3601
168	731	3596
169	735	3590
170	739	3586
171	743	3581
172	747	3573
173	751	3567
174	755	3560
175	758	3553
176	763	3549
177	767	3543
178	771	3538
179	775	3533
180	779	3526
181	783	3521
182	787	3515
183	791	3509
184	795	3504
185	799	3497
186	802	3491
187	807	3486
188	811	3480
189	815	3474
190	818	3467
191	822	3461
192	826	3454
193	829	3447
194	833	3441
195	837	3434
196	841	3428
197	844	3422
198	848	3416
199	853	3412
200	856	3406
201	861	3401
202	865	3396
203	869	3391
204	873	3385
205	877	3381
206	881	3376
207	885	3370
208	889	3365
209	893	3361
210	898	3358
211	902	3354
212	906	3350
213	911	3346
214	915	3341
215	920	3340
216	925	3337
217	929	3333
218	933	3329
