iter	Passed	Remaining
0	4	4872
1	9	4705
2	13	4619
3	18	4486
4	22	4466
5	26	4412
6	30	4386
7	35	4392
8	40	4449
9	44	4411
10	49	4429
11	53	4425
12	58	4407
13	62	4384
14	66	4357
15	70	4334
16	74	4314
17	78	4309
18	83	4325
19	88	4312
20	91	4286
21	96	4272
22	100	4254
23	104	4242
24	108	4225
25	112	4214
26	116	4212
27	121	4215
28	125	4210
29	130	4214
30	134	4202
31	138	4184
32	142	4178
33	146	4159
34	150	4142
35	154	4140
36	159	4142
37	163	4138
38	167	4124
39	171	4110
40	175	4096
41	179	4084
42	182	4066
43	186	4056
44	190	4045
45	194	4034
46	198	4032
47	202	4022
48	206	4010
49	210	4000
50	214	3990
51	218	3979
52	222	3970
53	226	3959
54	230	3955
55	234	3946
56	238	3939
57	241	3930
58	245	3922
59	249	3912
60	253	3902
61	257	3896
62	261	3888
63	265	3879
64	269	3873
65	272	3862
66	276	3856
67	280	3847
68	284	3838
69	288	3828
70	291	3817
71	295	3808
72	299	3801
73	303	3794
74	306	3784
75	310	3776
76	314	3770
77	318	3762
78	322	3756
79	326	3750
80	330	3744
81	333	3738
82	337	3732
83	341	3723
84	345	3715
85	348	3708
86	352	3704
87	356	3697
88	360	3691
89	364	3685
90	368	3679
91	372	3671
92	375	3664
93	379	3656
94	383	3650
95	386	3641
96	390	3636
97	394	3629
98	398	3630
99	402	3625
100	406	3617
101	410	3611
102	414	3609
103	418	3604
104	421	3596
105	425	3590
106	429	3585
107	433	3579
108	437	3574
109	441	3569
110	445	3564
111	448	3558
112	452	3553
113	456	3547
114	460	3542
115	464	3537
116	467	3531
117	471	3527
118	475	3523
119	479	3518
120	483	3512
121	487	3506
122	491	3501
123	495	3501
124	499	3498
125	503	3495
126	508	3495
127	512	3493
128	516	3490
129	520	3485
130	524	3480
131	528	3475
132	532	3469
133	535	3462
134	539	3457
135	543	3451
136	546	3444
137	550	3439
138	554	3434
139	558	3429
140	562	3424
141	565	3418
142	569	3413
143	573	3408
144	577	3402
145	580	3397
146	584	3392
147	588	3387
148	592	3383
149	596	3379
150	600	3377
151	604	3372
152	608	3366
153	612	3363
154	616	3358
155	620	3354
156	623	3349
157	627	3345
158	631	3341
159	635	3338
160	640	3335
161	643	3329
162	647	3325
163	651	3322
164	655	3318
165	659	3313
166	663	3308
167	667	3303
168	670	3298
169	674	3294
170	678	3289
171	682	3283
172	686	3281
173	689	3275
174	693	3270
175	697	3265
176	701	3261
177	705	3256
178	709	3253
179	713	3248
180	716	3243
181	720	3238
182	724	3234
183	728	3229
184	732	3225
185	735	3220
186	739	3216
187	743	3211
188	747	3206
189	751	3201
190	754	3197
191	759	3195
192	763	3191
193	767	3187
194	771	3182
195	774	3178
196	778	3174
197	783	3171
198	786	3166
199	790	3162
200	794	3158
201	798	3154
202	802	3152
203	806	3147
204	810	3142
205	814	3137
206	817	3132
207	821	3128
208	825	3123
209	829	3119
210	833	3115
211	837	3112
212	841	3108
213	845	3104
214	849	3100
215	853	3097
216	857	3093
217	861	3089
218	865	3085
219	868	3080
220	872	3076
221	876	3071
222	880	3068
223	884	3063
224	888	3058
225	891	3054
226	896	3051
227	899	3046
228	903	3043
229	907	3038
230	911	3034
231	915	3031
232	919	3027
233	923	3023
234	927	3018
235	930	3013
236	935	3010
237	939	3006
238	942	3001
239	946	2998
240	950	2993
241	954	2989
242	958	2985
243	962	2982
244	966	2977
245	970	2974
246	974	2970
247	978	2966
248	982	2962
249	986	2958
250	989	2954
251	993	2949
252	997	2945
253	1001	2942
254	1005	2938
255	1009	2933
256	1013	2929
257	1017	2925
258	1021	2922
259	1025	2917
260	1029	2913
261	1032	2909
262	1036	2905
263	1040	2900
264	1044	2896
265	1048	2892
266	1051	2887
267	1055	2883
268	1059	2879
269	1063	2875
270	1067	2871
271	1071	2867
272	1075	2864
273	1079	2860
274	1083	2856
275	1087	2852
276	1091	2848
277	1095	2844
278	1098	2839
279	1102	2835
280	1106	2830
281	1110	2827
282	1113	2822
283	1117	2817
284	1121	2813
285	1125	2810
286	1129	2807
287	1133	2802
288	1137	2798
289	1141	2793
290	1145	2789
291	1148	2785
292	1152	2781
293	1156	2777
294	1160	2772
295	1164	2768
296	1167	2764
297	1171	2759
298	1175	2755
299	1179	2751
300	1183	2748
301	1187	2743
302	1190	2739
303	1194	2734
304	1198	2730
305	1202	2727
306	1206	2723
307	1210	2719
308	1214	2714
309	1217	2710
310	1221	2706
311	1225	2702
312	1229	2697
313	1233	2694
314	1237	2690
315	1241	2687
316	1245	2683
317	1249	2679
318	1253	2675
319	1257	2671
320	1261	2667
321	1265	2664
322	1269	2660
323	1273	2656
324	1277	2652
325	1281	2648
326	1284	2644
327	1289	2641
